date,competition,url,id,country,competition_class,season,race_type,category,discipline
23 Feb 2020,Internationale Sluitingsprijs Oostmalle,https://dataride.uci.org/iframe/CompetitionResults/57835?disciplineId=3,57835,BEL,C1,2020,All,All,Cyclo-cross
22 Feb 2020,GP Leuven,https://dataride.uci.org/iframe/CompetitionResults/57834?disciplineId=3,57834,BEL,C1,2020,All,All,Cyclo-cross
16 Feb 2020,Vestingcross Hulst,https://dataride.uci.org/iframe/CompetitionResults/57918?disciplineId=3,57918,NED,C1,2020,All,All,Cyclo-cross
15 Feb 2020,Telenet Superprestige Middelkerke,https://dataride.uci.org/iframe/CompetitionResults/57833?disciplineId=3,57833,BEL,C1,2020,All,All,Cyclo-cross
08 Feb 2020,DVV Verzekeringen trofee Krawatencross,https://dataride.uci.org/iframe/CompetitionResults/57831?disciplineId=3,57831,BEL,C1,2020,All,All,Cyclo-cross
05 Feb 2020,Parkcross Maldegem,https://dataride.uci.org/iframe/CompetitionResults/57830?disciplineId=3,57830,BEL,C2,2020,All,All,Cyclo-cross
01 Feb-02 Feb 2020,UCI Cyclo-cross World Championships,https://dataride.uci.org/iframe/CompetitionResults/57738?disciplineId=3,57738,SUI,CM,2020,All,All,Cyclo-cross
26 Jan 2020,"2019-2020 Telenet UCI Cyclo-cross World Cup, Hoogerheide Provincie Noord-Brabant",https://dataride.uci.org/iframe/CompetitionResults/57747?disciplineId=3,57747,NED,CDM,2020,All,All,Cyclo-cross
25 Jan 2020,Kasteelcross Zonnebeke,https://dataride.uci.org/iframe/CompetitionResults/57829?disciplineId=3,57829,BEL,C2,2020,All,All,Cyclo-cross
19 Jan 2020,"2019-2020 Telenet UCI Cyclo-cross World Cup, Nommay Pays de Montbeliard",https://dataride.uci.org/iframe/CompetitionResults/57748?disciplineId=3,57748,FRA,CDM,2020,All,All,Cyclo-cross
19 Jan 2020,ZAO-sama Cup Tohoku CX Series,https://dataride.uci.org/iframe/CompetitionResults/57904?disciplineId=3,57904,JPN,C2,2020,All,All,Cyclo-cross
19 Jan 2020,Grand Prix Möbel Alvisse,https://dataride.uci.org/iframe/CompetitionResults/57906?disciplineId=3,57906,LUX,C2,2020,All,All,Cyclo-cross
13 Jan 2020,Cyclocross Otegem,https://dataride.uci.org/iframe/CompetitionResults/57828?disciplineId=3,57828,BEL,C2,2020,All,All,Cyclo-cross
12 Jan 2020,"Czech National Championships - ME, WE",https://dataride.uci.org/iframe/CompetitionResults/57915?disciplineId=3,57915,CZE,CN,2020,All,All,Cyclo-cross
12 Jan 2020,Danish National Championships,https://dataride.uci.org/iframe/CompetitionResults/57939?disciplineId=3,57939,DEN,CN,2020,All,All,Cyclo-cross
12 Jan 2020,Swiss National Championships,https://dataride.uci.org/iframe/CompetitionResults/57940?disciplineId=3,57940,SUI,CN,2020,All,All,Cyclo-cross
12 Jan 2020,Irish National Championships,https://dataride.uci.org/iframe/CompetitionResults/58577?disciplineId=3,58577,IRL,CN,2020,All,All,Cyclo-cross
12 Jan 2020,Hungarian national championships,https://dataride.uci.org/iframe/CompetitionResults/59095?disciplineId=3,59095,HUN,CN,2020,All,All,Cyclo-cross
12 Jan 2020,Croatian national championships,https://dataride.uci.org/iframe/CompetitionResults/59770?disciplineId=3,59770,CRO,CN,2020,All,All,Cyclo-cross
11 Jan-12 Jan 2020,Italian National Championships,https://dataride.uci.org/iframe/CompetitionResults/57846?disciplineId=3,57846,ITA,CN,2020,All,All,Cyclo-cross
11 Jan-12 Jan 2020,Swedish National Championships,https://dataride.uci.org/iframe/CompetitionResults/57855?disciplineId=3,57855,SWE,CN,2020,All,All,Cyclo-cross
